,20.1_vs_10.1,10.2_vs_10.1,20.2_vs_20.1,20.2_vs_10.2,liver_10_vs_20,scanner_1_vs_2,Int__liver_10.20_vs_scanner_1.2
1075_f_at,0.000349519048895797,0.000340166054091373,0.000194805801811082,0.000204158796615506,-0.000276838922755651,-0.000267485927951228,-7.26801261401455e-05
1076_at,0.00059717429024797,0.00144942883826538,-0.000141066988045502,-0.000993321536062908,0.000198073622907913,-0.000654180925110381,-0.000795247913155883
1077_at,-0.00510689963596178,0.00416086601258314,0.00209501969131587,-0.00717274595722905,0.00613982279659453,-0.00312794285195039,-0.00103292316063275
1078_at,0.000121226681145448,0.000135076375468723,-9.62163408022576e-05,-0.000110066035125533,-5.58032300990163e-06,-1.94300173332884e-05,-0.000115646358135546
1079_g_at,-9.2751144962655e-05,-6.23609940659797e-05,4.81622403655235e-05,1.77720894688482e-05,3.74895277469589e-05,7.09937685028361e-06,5.52616172156961e-05
107_at,-1.54859333774127e-05,0.00013504304798051,0.000229365218165078,7.8836236807156e-05,-3.16751517148717e-05,-0.000182204133072794,4.71610850922843e-05
1080_s_at,1.87125963724277e-06,1.43468846129924e-05,-2.70706287877065e-05,-3.95462537634561e-05,1.88374970631067e-05,6.36187208735706e-06,-2.07087567003494e-05
1081_at,0.00309789932760829,0.00355586588838719,-0.000272687388291004,-0.000730653949069904,-0.0011836226892683,-0.00164158925004898,-0.00191427663833821
1082_at,0.00118460896761885,-7.69314861450709e-05,-0.00118653238656297,7.50080672009545e-05,-0.000629808517410346,0.000631731936353574,-0.000554800450208504
1083_s_at,0.00108991700655592,-0.0004857433733223,-0.00148255895350147,9.31014263767516e-05,-0.000591509216466335,0.00098415116341144,-0.000498407790090027
1084_at,4.33539559212548e-05,0.000100702116078821,0.00012402443977777,6.66762796202036e-05,-5.50151177707292e-05,-0.000112363277928296,1.16611618494744e-05
1085_s_at,-0.000218080954520694,0.000306739723766825,0.000275792380571183,-0.000249028297716336,0.000233554626118071,-0.000291266052169448,-1.54736715982651e-05
1086_at,8.60052546622914e-05,6.74954988566512e-07,-7.88090247196838e-05,6.52127495404109e-06,-4.62632648081662e-05,3.90670348655586e-05,-3.97419898541251e-05
1087_at,0.000374220655805946,-0.000210244501113177,-0.000673457678687317,-8.89925217681942e-05,-0.000142614067018876,0.000441851089900247,-0.00023160658878707
1088_at,-0.000336890478898733,0.000345361878893113,0.00311384723595065,0.0024315948781588,-0.00104735219963015,-0.00172960455742199,0.00138424267852866
1089_i_at,0.000580476895449156,0.000228002515041847,-0.000456510108458819,-0.00010403572805151,-0.000238220583698379,0.000114253796708041,-0.000342256311750333
108_g_at,-9.95523139430965e-05,-0.000260460767039561,-2.54327805429e-05,0.000135475672553564,-1.7961679305234e-05,0.00014294677379123,0.00011751399324833
1090_f_at,0.000436170498215205,9.17775051370029e-05,-0.000534512916749996,-0.000190119923671794,-0.000123025287271261,0.000221367705806941,-0.000313145210943944
